"merge_col","threshability","floret_score_mean","rachis_breaks_mean"
"WGN36D20_STP_2017_1",98,1,2
"WGN36D21_STP_2017_1",95,2,0
"WGN36D22_STP_2017_1",95,0,1
"WGN36D23_STP_2017_1",94,1,1
"WGN36D24_STP_2017_1",97,1,1
"WGN36D25_STP_2017_1",80,0,1
"WGN36D26_STP_2017_1",99,1,1
"WGN36D27_STP_2017_1",99,1,1
"WGN36D28_STP_2017_1",96,0,1
"WGN36D29_STP_2017_1",99,1,1
"WGN36D30_STP_2017_1",98,0,1
"WGN36D31_STP_2017_1",90,0,2
"WGN36D32_STP_2017_1",99,0,1
"WGN36D33_STP_2017_1",98,0,1
"WGN36D34_STP_2017_1",94,1,1
"WGN36D35_STP_2017_1",97,0,1
"WGN36D36_STP_2017_1",40,1,1
"WGN36D37_STP_2017_1",96,0,0
"WGN36D38_STP_2017_1",99,0,1
"WGN36D39_STP_2017_1",95,1,0
"WGN36D40_STP_2017_1",96,0,0
"WGN36D41_STP_2017_1",98,0,1
"WGN36D42_STP_2017_1",100,0,1
"WGN36D43_STP_2017_1",95,0,1
"WGN36D44_STP_2017_1",96,2,1
"WGN36D45_STP_2017_1",90,0,1
"WGN36D46_STP_2017_1",95,0,1
"WGN36D47_STP_2017_1",97,1,1
"WGN36D48_STP_2017_1",85,1,1
"WGN36D49_STP_2017_1",99,1,1
"WGN36D50_STP_2017_1",99,1,0
"WGN36D51_STP_2017_1",96,0,0
"WGN36D52_STP_2017_1",96,1,1
"WGN36D53_STP_2017_1",60,2,1
"WGN36D54_STP_2017_1",97,0,1
"WGN36D55_STP_2017_1",97,2,1
"WGN36D56_STP_2017_1",45,0,0
"WGN36D57_STP_2017_1",85,0,0
"WGN36D58_STP_2017_1",90,0,1
"WGN36D59_STP_2017_1",99,1,1
"WGN36D60_STP_2017_1",97,0,1
"WGN36D61_STP_2017_1",95,1,3
"WGN36D62_STP_2017_1",85,0,1
"WGN36D63_STP_2017_1",85,0,1
"WGN36D64_STP_2017_1",95,0,0
"WGN36D65_STP_2017_1",97,0,1
"WGN38C01_STP_2017_1",99,1,1
"WGN38C02_STP_2017_1",95,1,0
"WGN38C03_STP_2017_1",98,1,1
"WGN38C04_STP_2017_1",70,0,1
"WGN38C05_STP_2017_1",NA,NA,NA
"WGN38C06_STP_2017_1",70,0,0
"WGN38C07_STP_2017_1",99,0,1
"WGN38C08_STP_2017_1",95,0,0
"WGN38C09_STP_2017_1",100,0,1
"WGN38C10_STP_2017_1",100,0,1
"WGN38C11_STP_2017_1",95,1,1
"WGN38C12_STP_2017_1",65,1,2
"WGN38C13_STP_2017_1",NA,NA,NA
"WGN38C14_STP_2017_1",99,1,0
"WGN38C15_STP_2017_1",90,1,1
"WGN38C16_STP_2017_1",NA,NA,NA
"WGN38C17_STP_2017_1",98,1,1
"WGN38C18_STP_2017_1",70,3,1
"WGN38C19_STP_2017_1",75,2,1
"WGN38C20_STP_2017_1",65,0,1
